type,dimension,category,Plasmotropin,Crudaxil,Xanastin,Spamoprofin
30-39,Total Patients,Insurance,3.38,5.25,4.13,5.13
30-39,Total Patients,Safety,3.50,3.88,5.38,4.50
40-49,Total Patients,Aware,2.75,5.75,5.25,1.75
40-49,Total Patients,Efficacy,5.75,4.75,5.25,6.00
40-49,Total Patients,Insurance,5.00,4.00,5.25,2.25
40-49,Total Patients,Safety,5.50,4.50,3.75,3.75
50-99,Total Patients,Aware,2.13,5.88,5.63,2.75
50-99,Total Patients,Efficacy,5.38,5.38,4.25,5.50
50-99,Total Patients,Insurance,4.63,5.25,5.13,3.38
50-99,Total Patients,Safety,5.63,3.88,2.75,4.63
100+,Total Patients,Aware,4.33,1.33,2.67,3.67
100+,Total Patients,Efficacy,1.00,3.67,3.00,3.00
100+,Total Patients,Insurance,6.00,5.67,6.00,3.33
100+,Total Patients,Safety,5.67,5.33,5.33,3.67
100+,Total Patients,Aware,2.00,4.00,1.00,3.00
100+,Total Patients,Efficacy,3.00,1.00,3.00,3.00
100+,Total Patients,Insurance,6.00,6.00,5.00,3.00
100+,Total Patients,Safety,5.00,5.00,5.00,3.00
Overall,Location,Aware,3.14,5.43,5.12,2.49
Overall,Number of Years,Aware,3.14,5.43,5.12,2.49
Overall,Practice Setting,Aware,3.14,5.43,5.12,2.49
Overall,Total Patients,Aware,3.14,5.43,5.12,2.49
Overall,Location,Efficacy,3.93,4.77,4.09,4.23
Overall,Number of Years,Efficacy,3.93,4.77,4.09,4.23
Overall,Practice Setting,Efficacy,3.93,4.77,4.09,4.23
Overall,Total Patients,Efficacy,3.93,4.77,4.09,4.23
Overall,Location,Insurance,3.90,4.84,4.48,3.95
Overall,Number of Years,Insurance,3.90,4.84,4.48,3.95
Overall,Practice Setting,Insurance,3.90,4.84,4.48,3.95
Overall,Total Patients,Insurance,3.90,4.84,4.48,3.95
Overall,Location,Safety,4.52,3.79,3.96,4.19
Overall,Number of Years,Safety,4.52,3.79,3.96,4.19
Overall,Practice Setting,Safety,4.52,3.79,3.96,4.19
Overall,Total Patients,Safety,4.52,3.79,3.96,4.19
