type,dimension,category,Plasmotropin,Crudaxil,Xanastin,Spamoprofin,n
25,Total Patients,Aware,3.86,5.71,5.57,4.14,7
25,Total Patients,Efficacy,3.29,4.43,3.71,5,7
25,Total Patients,Insurance,3.29,5,4.14,5,7
25,Total Patients,Safety,4.86,4,3.43,5.14,7
26,Total Patients,Aware,1,7,7,7,1
26,Total Patients,Efficacy,3,7,6,3,1
26,Total Patients,Insurance,7,2,1,5,1
26,Total Patients,Safety,7,2,3,2,1
30,Total Patients,Aware,3,5.4,4.6,2.2,5
30,Total Patients,Efficacy,3.6,5.4,3.8,3.8,5
30,Total Patients,Insurance,3.4,5.6,4.4,4.4,5
30,Total Patients,Safety,4.4,4.2,6.4,4.2,5
32,Total Patients,Aware,5,6,2,4,1
32,Total Patients,Efficacy,7,2,2,4,1
32,Total Patients,Insurance,3,6,3,7,1
32,Total Patients,Safety,3,3,4,7,1
35,Total Patients,Aware,1.5,6,6.5,3.5,2
35,Total Patients,Efficacy,5,4,5.5,2.5,2
35,Total Patients,Insurance,3.5,4,4,6,2
35,Total Patients,Safety,1.5,3.5,3.5,4,2
40,Total Patients,Aware,2.67,5.33,4.67,1.67,3
40,Total Patients,Efficacy,6.33,4,4.67,6.33,3
40,Total Patients,Insurance,5,3.33,5,2.33,3
40,Total Patients,Safety,5,3.67,2.67,3.33,3
45,Total Patients,Aware,3,7,7,2,1
45,Total Patients,Efficacy,4,7,7,5,1
45,Total Patients,Insurance,5,6,6,2,1
45,Total Patients,Safety,7,7,7,5,1
50,Total Patients,Aware,1.33,5,4.67,2.33,3
50,Total Patients,Efficacy,5.33,5.33,3.67,5.33,3
50,Total Patients,Insurance,3.67,6.33,4.67,3.33,3
50,Total Patients,Safety,5.33,2.67,3,3.33,3
60,Total Patients,Aware,3,4,4,1,1
60,Total Patients,Efficacy,1,7,4,6,1
60,Total Patients,Insurance,5,4,7,4,1
60,Total Patients,Safety,6,2,4,6,1
77,Total Patients,Aware,2,7,6,4,1
77,Total Patients,Efficacy,7,6,6,4,1
77,Total Patients,Insurance,7,5,7,3,1
77,Total Patients,Safety,6,7,1,5,1
80,Total Patients,Aware,3,7,7,4.5,2
80,Total Patients,Efficacy,6,4,3.5,5.5,2
80,Total Patients,Insurance,3.5,6,5.5,4,2
80,Total Patients,Safety,5,4,3,4.5,2
90,Total Patients,Aware,2,7,7,1,1
90,Total Patients,Efficacy,7,6,6,7,1
90,Total Patients,Insurance,7,2,2,2,1
90,Total Patients,Safety,7,6,2,7,1
100,Total Patients,Aware,3.5,1.5,3,5,2
100,Total Patients,Efficacy,1,3.5,3,2.5,2
100,Total Patients,Insurance,5.5,6,7,4,2
100,Total Patients,Safety,5.5,5,5,3.5,2
150,Total Patients,Aware,6,1,2,1,1
150,Total Patients,Efficacy,1,4,3,4,1
150,Total Patients,Insurance,7,5,4,2,1
150,Total Patients,Safety,6,6,6,4,1
